INFO:root:			wsddn_cls: 4.1466, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 1700] loss: 4.8761, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.4164, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 1800] loss: 5.0958, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.7798, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 1900] loss: 5.0375, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.7884, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 2000] loss: 5.1290, lr: 1.00e-03
INFO:root:			wsddn_cls: 7.0231, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 2100] loss: 5.2389, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.4494, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 2200] loss: 5.6820, lr: 1.00e-03
INFO:root:			wsddn_cls: 7.0922, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 2300] loss: 5.3768, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.3970, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 2400] loss: 5.0545, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.2371, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 2500] loss: 5.2847, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.2366, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 2600] loss: 4.7871, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.9794, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 2700] loss: 5.0821, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.1069, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 2800] loss: 5.0267, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.3768, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 2900] loss: 5.1761, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.4058, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 3000] loss: 5.2397, lr: 1.00e-03
INFO:root:			wsddn_cls: 1.9817, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 3100] loss: 5.2946, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.1803, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 3200] loss: 5.0211, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.9235, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 3300] loss: 5.4250, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.8646, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 3400] loss: 4.8766, lr: 1.00e-03
INFO:root:			wsddn_cls: 1.8779, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 3500] loss: 4.8667, lr: 1.00e-03
INFO:root:			wsddn_cls: 1.9255, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 3600] loss: 4.7845, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.2207, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 3700] loss: 5.3415, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.2759, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 3800] loss: 4.8365, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.7616, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 3900] loss: 5.0611, lr: 1.00e-03
INFO:root:			wsddn_cls: 6.4773, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 4000] loss: 5.5110, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.0197, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 4100] loss: 5.1741, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.8207, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 4200] loss: 5.1601, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.4692, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 4300] loss: 4.7050, lr: 1.00e-03
INFO:root:			wsddn_cls: 2.0606, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 4400] loss: 5.0677, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.3132, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 4500] loss: 4.9467, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.4003, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 4600] loss: 5.1751, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.5550, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 4700] loss: 5.2316, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.3944, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 4800] loss: 5.0793, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.9780, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 4900] loss: 5.0395, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.5580, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 5000] loss: 4.8521, lr: 1.00e-03
INFO:root:			wsddn_cls: 6.9800, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 5100] loss: 5.3247, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.1583, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 5200] loss: 5.1292, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.9636, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 5300] loss: 5.0901, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.6560, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 5400] loss: 5.0915, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.2875, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 5500] loss: 4.8657, lr: 1.00e-03
INFO:root:			wsddn_cls: 13.7667, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 5600] loss: 5.0635, lr: 1.00e-03
